,TaMin_2m,TaMax_2m,RHMin_2m,RHMax_2m,WndAveSpd_3m,Solar_2m_Avg,Rain_1m_Tot,hour,date,Ta_mid_2m,RH_mid_2m,VPD_kPa,Tcns
2023-05-20 13:00:00,18.35,20.39,37.14,48.1,3.2286,910.0333333333333,0.0,13,2023-05-20,19.37,42.620000000000005,1.290264554780052,21.516133062235593
2023-05-21 11:00:00,19.35,21.64,49.88,62.88,3.0752,698.935,0.0,11,2023-05-21,20.495,56.38,1.051633636132489,22.102053727607895
2023-05-21 12:00:00,21.12,23.24,46.46,57.65,3.855566666666667,770.9449999999999,0.0,12,2023-05-21,22.18,52.055,1.2816071902565263,23.486577074128036
2023-05-21 13:00:00,22.63,23.86,45.98,55.86,4.457433333333333,866.86,0.0,13,2023-05-21,23.244999999999997,50.92,1.3994376123250587,24.577975462128666
2023-05-22 11:00:00,19.77,22.16,60.19,77.01,2.3607500000000003,655.8733333333333,0.0,11,2023-05-22,20.965,68.6,0.7792424064329001,22.755205177338965
2023-05-22 12:00:00,21.63,23.34,53.15,69.69,3.5816,752.9683333333334,0.0,12,2023-05-22,22.485,61.42,1.0505743883520218,24.024006303556234
2023-05-22 13:00:00,22.86,24.38,45.17,61.4,4.464266666666666,798.65,0.0,13,2023-05-22,23.619999999999997,53.285,1.3624581528840407,24.719110678318142
2023-05-23 11:00:00,19.16,20.95,65.21,77.42,3.2892333333333337,662.63,0.0,11,2023-05-23,20.055,71.315,0.6730230098051267,22.141171635782566
2023-05-23 12:00:00,20.47,22.15,60.25,70.95,3.7251666666666665,713.435,0.0,12,2023-05-23,21.31,65.6,0.871956681822421,23.12238531135749
2023-05-23 13:00:00,21.54,22.82,55.89,67.19,4.133333333333334,777.4933333333333,0.0,13,2023-05-23,22.18,61.54,1.0280657532019188,23.877131324523884
2023-05-24 11:00:00,20.06,21.9,56.35,64.6,4.3094833333333336,684.7083333333334,0.0,11,2023-05-24,20.979999999999997,60.474999999999994,0.981781940334805,22.575495353181196
2023-05-24 12:00:00,21.11,23.24,51.83,60.97,4.944133333333334,762.2133333333334,0.0,12,2023-05-24,22.174999999999997,56.4,1.1651073122508033,23.620591063903
