date,hour,pa,ppt,swin,ta,Tcns
2023-07-02,13,91223.8984375,0.0,226.4770050048828,18.709991455078125,28.58007476459656
2023-07-03,11,91221.203125,0.0,0.0,20.94000244140625,26.998930008998308
2023-07-03,12,91264.296875,0.0,87.6500015258789,21.209991455078125,28.216655553646564
2023-07-03,13,91216.6015625,0.0,224.7550048828125,22.77001953125,29.04502974424541
2023-07-04,11,91041.796875,0.0,0.0,19.730010986328125,25.99702379842105
2023-07-04,12,90995.0,0.0,85.73500061035156,19.45001220703125,25.264784858848586
2023-07-04,13,90965.703125,0.0,221.6569976806641,21.66000366210937,26.130326867142863
2023-07-05,11,91937.5,0.0,0.0,14.5,16.77954619493985
2023-07-05,12,91960.8984375,0.0,58.37099838256836,14.029998779296877,16.493352904697407
2023-07-05,13,91976.8984375,0.0,152.23599243164062,14.660003662109377,15.94680479677134
2023-07-06,11,91881.1015625,0.0,0.0,13.040008544921877,15.849013897697237
2023-07-06,12,91853.1015625,0.0,56.93399810791016,13.420013427734377,17.37764959346028
2023-07-06,13,91856.8984375,0.0,149.875,13.990020751953123,19.292908103572703
2023-07-07,11,90957.203125,15.371399879455566,0.0,18.33001708984375,23.847809956688494
2023-07-07,12,91011.8984375,0.3118000030517578,68.11599731445312,18.510009765625,25.195651310509906
2023-07-07,13,91060.703125,0.0020999999251216,181.08999633789065,19.6300048828125,25.968592762192426
2023-07-08,11,91633.0,0.0,0.0,14.77001953125,17.970594975551894
2023-07-08,12,91668.6015625,0.0,58.97100067138672,14.82000732421875,20.29421940382299
2023-07-08,13,91650.796875,0.0,158.42300415039062,16.25,19.94224435337711
2023-07-09,11,91627.703125,0.0,0.0,10.5,23.156442353898736
2023-07-09,12,91640.3984375,0.0,78.85600280761719,10.58001708984375,24.612259231128064
2023-07-09,13,91556.5,0.0,214.2030029296875,13.0,25.43318756326844
2023-07-10,11,91231.1015625,0.0,0.0,18.17001342773437,28.01373576772233
2023-07-10,12,91266.796875,0.0,77.85900115966797,17.94000244140625,29.37476721291744
2023-07-10,13,91199.703125,0.0,213.98599243164065,20.3699951171875,29.99987922984928
2023-07-11,11,91044.0,0.0,0.0,23.08001708984375,26.12778078864936
2023-07-11,12,91007.796875,0.0,72.39900207519531,23.14999389648437,28.407021417952105
2023-07-11,13,90929.5,0.0,201.45700073242188,24.41000366210937,29.439748448774964
2023-07-12,11,90729.5,0.0,0.0,22.279998779296875,26.179723637346942
2023-07-12,12,90748.1015625,0.0,74.75299835205078,22.040008544921875,27.67205498502564
2023-07-12,13,90831.3984375,0.0,210.74400329589844,23.529998779296875,28.413697803678566
2023-07-13,11,91081.1015625,0.2443999946117401,0.0,21.44000244140625,22.02202721112511
2023-07-13,12,91090.5,0.0283000003546476,52.76100158691406,21.41000366210937,22.578357087434178
2023-07-13,13,91068.5,0.3781000077724457,150.81300354003906,22.25,25.97254338781304
2023-07-14,11,90918.203125,0.0,0.0,22.83001708984375,19.85311092646655
2023-07-14,12,90985.0,0.0,44.44499969482422,22.850006103515625,22.12068147955831
2023-07-14,13,90992.5,0.7117999792098999,128.9080047607422,23.279998779296875,24.68547282014793
2023-07-15,11,91700.796875,0.0,0.0,19.66000366210937,25.555953525472752
2023-07-15,12,91721.3984375,0.0,70.30799865722656,19.050018310546875,26.637072339194034
2023-07-15,13,91672.1015625,0.0,207.08099365234372,20.77001953125,27.13101898747892
2023-07-16,11,91329.0,0.00019999999494757503,0.0,20.220001220703125,25.09787151835513
2023-07-16,12,91308.1015625,0.0,51.52199935913086,19.82000732421875,26.622372908104232
2023-07-16,13,91309.203125,0.0,154.23199462890625,20.970001220703125,27.360404829135003
2023-07-17,11,91394.796875,0.0,0.0,20.209991455078125,25.19422033711868
2023-07-17,12,91474.5,0.0,66.60299682617188,19.75,26.38019947643704
2023-07-17,13,91376.5,0.0,202.822998046875,21.3699951171875,27.1445643511147
2023-07-18,11,90986.8984375,0.0,0.0,18.82000732421875,22.406090105863317
2023-07-18,12,90927.3984375,0.0,64.72200012207031,18.30999755859375,24.606816634041756
